player,team,league_name_fbref,league_name_sofifa,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,crosses,interceptions,tackles_won,aerials_won,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,tackles,dribble_tackles,pressures,blocks,clearances,gca,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes
Garissone Innocent,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Arnaud Kalimuendo,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Ángel Di María,Paris S-G,Ligue 1,French Ligue 1,26,"2,000",8,14,7,0.36,0.63,0.32,9.1,7.6,13.9,0.41,0.63,0.34,92,10,13,1,139,72,209,275,21,7,410,20,1,23,940,1290,463,538,314,411,144,278,164
Keylor Navas,Paris S-G,Ligue 1,French Ligue 1,21,"1,890",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,468,544,88,88,232,235,146,219,0
Thiago Silva,Paris S-G,Ligue 1,French Ligue 1,21,"1,571",0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.01,0.00,0.01,0,14,21,31,8,3,130,4,33,13,91,27,71,2,1440,1502,456,465,709,733,266,290,89
Idrissa Gana Gueye,Paris S-G,Ligue 1,French Ligue 1,20,"1,653",1,2,1,0.05,0.11,0.05,1.2,1.2,3.0,0.06,0.16,0.06,5,22,47,17,23,23,140,46,75,20,450,31,18,6,1468,1590,763,810,576,611,111,127,134
Kylian Mbappé,Paris S-G,Ligue 1,French Ligue 1,20,"1,513",18,5,18,1.07,0.30,1.07,17.1,17.1,8.5,1.01,0.51,1.01,67,1,2,4,208,59,171,259,4,1,137,8,1,12,515,671,327,396,139,185,35,50,48
Juan Bernat,Paris S-G,Ligue 1,French Ligue 1,18,"1,388",0,4,0,0.00,0.26,0.00,0.5,0.5,2.3,0.03,0.15,0.03,31,8,21,10,50,32,95,58,43,17,238,31,30,6,1011,1122,595,633,367,401,34,50,48
Marco Verratti,Paris S-G,Ligue 1,French Ligue 1,20,"1,482",0,5,0,0.00,0.30,0.00,0.2,0.2,2.9,0.01,0.18,0.01,13,16,43,8,13,24,137,41,58,18,375,25,9,13,1607,1733,802,842,605,631,160,204,163
Marquinhos,Paris S-G,Ligue 1,French Ligue 1,19,"1,476",3,1,3,0.18,0.06,0.18,1.8,1.8,0.5,0.11,0.03,0.11,5,11,25,41,17,9,73,17,43,16,293,34,44,3,1207,1294,408,428,589,612,186,221,83
Neymar,Paris S-G,Ligue 1,French Ligue 1,15,"1,318",13,6,9,0.89,0.41,0.61,12.7,8.9,5.9,0.87,0.40,0.61,28,6,7,5,109,86,224,196,14,5,170,10,1,16,759,961,417,475,221,274,91,159,149
Mauro Icardi,Paris S-G,Ligue 1,French Ligue 1,20,"1,267",12,2,12,0.85,0.14,0.85,9.9,9.9,2.6,0.70,0.18,0.70,5,3,4,7,82,5,13,89,6,0,217,10,10,9,149,178,78,88,42,50,11,12,16
Thomas Meunier,Paris S-G,Ligue 1,French Ligue 1,16,"1,242",0,1,0,0.00,0.07,0.00,0.4,0.4,1.9,0.03,0.14,0.03,50,11,16,14,36,9,113,74,28,15,186,30,25,3,772,925,335,381,331,380,95,129,55
Presnel Kimpembe,Paris S-G,Ligue 1,French Ligue 1,16,"1,225",0,0,0,0.00,0.00,0.00,0.4,0.4,0.1,0.03,0.00,0.03,3,18,25,24,8,12,59,3,41,18,124,14,36,0,1061,1119,413,422,516,538,126,143,44
Abdou Diallo,Paris S-G,Ligue 1,French Ligue 1,16,"1,201",0,1,0,0.00,0.07,0.00,0.8,0.8,0.1,0.06,0.01,0.06,6,8,10,17,8,17,100,6,17,6,150,22,40,1,986,1061,337,352,490,515,149,174,72
Pablo Sarabia,Paris S-G,Ligue 1,French Ligue 1,21,"1,164",4,3,4,0.31,0.23,0.31,4.0,4.0,2.9,0.31,0.23,0.31,42,3,10,4,75,10,110,152,18,6,260,12,7,4,524,677,299,338,177,223,34,78,59
Layvin Kurzawa,Paris S-G,Ligue 1,French Ligue 1,14,858,1,0,1,0.10,0.00,0.10,0.6,0.6,0.2,0.07,0.02,0.07,19,14,9,20,29,11,48,41,22,6,142,23,25,3,605,671,352,376,208,225,25,39,36
Leandro Paredes,Paris S-G,Ligue 1,French Ligue 1,17,814,0,0,0,0.00,0.00,0.00,0.4,0.4,0.2,0.05,0.03,0.05,3,10,17,7,1,13,55,14,27,16,139,14,13,2,856,913,368,380,351,364,126,154,84
Julian Draxler,Paris S-G,Ligue 1,French Ligue 1,11,686,0,4,0,0.00,0.52,0.00,1.5,1.5,1.9,0.20,0.25,0.20,5,8,8,3,22,13,71,53,12,5,135,13,3,7,431,485,231,254,159,171,35,47,44
Colin Dagba,Paris S-G,Ligue 1,French Ligue 1,10,668,0,0,0,0.00,0.00,0.00,0.0,0.0,0.6,0.00,0.08,0.00,22,7,4,1,16,9,48,23,7,3,87,12,11,1,372,414,217,231,141,155,10,20,14
Edinson Cavani,Paris S-G,Ligue 1,French Ligue 1,14,605,4,1,3,0.60,0.15,0.45,7.6,6.9,1.5,1.14,0.22,1.02,4,0,4,4,54,6,10,57,6,1,90,7,0,2,120,140,64,73,42,45,7,13,11
Ander Herrera,Paris S-G,Ligue 1,French Ligue 1,8,547,1,1,1,0.16,0.16,0.16,0.2,0.2,0.5,0.03,0.09,0.03,5,5,10,4,9,3,49,32,21,10,117,7,5,2,466,503,252,260,181,195,26,31,30
Thilo Kehrer,Paris S-G,Ligue 1,French Ligue 1,7,480,1,0,1,0.19,0.00,0.19,0.3,0.3,0.3,0.06,0.06,0.06,3,2,6,12,5,0,26,7,10,3,53,3,5,1,376,402,161,172,181,189,30,33,16
Eric Maxim Choupo-Moting,Paris S-G,Ligue 1,French Ligue 1,9,451,3,1,3,0.60,0.20,0.60,2.4,2.4,0.6,0.47,0.11,0.47,5,3,4,5,31,12,12,61,10,4,83,3,3,4,92,112,58,66,28,33,2,4,9
Nianzou Kouassi,Paris S-G,Ligue 1,French Ligue 1,6,452,2,0,2,0.40,0.00,0.40,0.4,0.4,0.2,0.08,0.05,0.08,0,3,4,11,3,2,24,3,5,3,50,6,5,0,309,336,92,104,174,183,41,44,24
Alphonse Areola,Paris S-G,Ligue 1,French Ligue 1,3,270,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,58,14,14,32,32,7,9,0
Sergio Rico,Paris S-G,Ligue 1,French Ligue 1,2,180,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,49,13,15,21,21,4,13,0
Mitchel Bakker,Paris S-G,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,3,0,0,1,3,2,3,0,13,1,0,0,91,94,50,52,31,31,8,8,1
Marcin Bułka,Paris S-G,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,5,5,11,11,1,2,0
Adil Aouchiche,Paris S-G,Ligue 1,French Ligue 1,1,64,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,2,0,1,3,2,4,2,0,29,3,0,0,24,31,14,16,8,9,2,4,1
Loïc Mbe Soh,Paris S-G,Ligue 1,French Ligue 1,1,58,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,1,1,1,1,0,0,5,4,2,1,6,0,0,0,71,77,36,40,31,32,4,5,4
Arthur Zagre,Paris S-G,Ligue 1,French Ligue 1,1,25,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,1,0,0,1,3,1,3,2,0,7,0,0,0,12,15,8,10,4,5,0,0,0
Jesé,Paris S-G,Ligue 1,French Ligue 1,1,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0
Abdallah Ali Mohamed,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Simon Ngapandouetnbu,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Niels Nkounkou,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alexandre Phliponeau,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Steve Mandanda,Marseille,Ligue 1,French Ligue 1,27,"2,370",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,6,0,0,0,575,848,74,74,283,284,218,489,0
Morgan Sanson,Marseille,Ligue 1,French Ligue 1,27,"2,173",5,4,5,0.21,0.17,0.21,3.3,3.3,3.0,0.14,0.13,0.14,51,16,44,12,69,48,138,146,64,12,719,42,4,5,726,907,367,427,245,298,85,128,56
Bouna Sarr,Marseille,Ligue 1,French Ligue 1,27,"2,164",1,3,1,0.04,0.12,0.04,1.9,1.9,2.1,0.08,0.09,0.08,62,24,30,37,45,52,177,87,58,28,337,29,48,7,1100,1357,615,693,390,467,70,140,76
Darío Benedetto,Marseille,Ligue 1,French Ligue 1,26,"2,101",11,0,11,0.47,0.00,0.47,9.9,9.2,1.1,0.42,0.05,0.39,10,4,14,45,98,21,24,153,16,5,336,19,20,5,342,503,150,207,120,179,53,70,29
Jordan Amavi,Marseille,Ligue 1,French Ligue 1,26,"2,164",1,1,1,0.04,0.04,0.04,0.6,0.6,1.3,0.02,0.05,0.02,31,30,28,72,31,28,101,49,62,31,287,53,131,2,983,1222,422,484,447,531,96,159,74
Boubacar Kamara,Marseille,Ligue 1,French Ligue 1,24,"2,139",1,2,1,0.04,0.08,0.04,0.6,0.6,0.5,0.02,0.02,0.02,0,15,53,57,18,14,60,7,76,28,355,41,95,5,1130,1280,427,451,504,550,183,254,69
Dimitri Payet,Marseille,Ligue 1,French Ligue 1,22,"1,930",9,4,6,0.42,0.19,0.28,6.2,3.9,6.9,0.29,0.32,0.18,75,5,12,9,70,59,211,108,21,6,233,10,14,11,775,1109,310,362,295,371,160,327,119
Duje Ćaleta-Car,Marseille,Ligue 1,French Ligue 1,23,"1,886",1,1,1,0.05,0.05,0.05,1.3,1.3,0.3,0.06,0.02,0.06,3,15,19,58,22,0,69,7,34,19,144,38,124,0,941,1059,252,263,469,505,213,281,63
Valentin Rongier,Marseille,Ligue 1,French Ligue 1,23,"1,790",0,2,0,0.00,0.10,0.00,2.4,1.6,1.4,0.12,0.07,0.08,6,22,51,24,34,24,122,58,76,22,614,41,17,3,1097,1264,493,551,455,502,118,154,88
Álvaro González,Marseille,Ligue 1,French Ligue 1,20,"1,628",0,0,0,0.00,0.00,0.00,1.0,1.0,0.6,0.05,0.03,0.05,0,13,8,36,15,1,56,1,18,7,82,11,104,0,753,849,226,233,380,405,145,203,35
Hiroki Sakai,Marseille,Ligue 1,French Ligue 1,21,"1,620",0,0,0,0.00,0.00,0.00,0.1,0.1,0.9,0.00,0.05,0.00,27,11,35,37,22,12,87,45,63,25,231,38,49,2,942,1112,477,516,368,435,81,119,87
Kevin Strootman,Marseille,Ligue 1,French Ligue 1,25,"1,416",2,3,1,0.13,0.19,0.06,1.5,0.7,0.9,0.09,0.06,0.05,8,11,27,27,23,3,80,17,45,18,294,31,35,5,824,941,345,371,353,392,106,143,79
Valère Germain,Marseille,Ligue 1,French Ligue 1,25,"1,350",2,4,2,0.13,0.27,0.13,1.8,1.8,1.6,0.12,0.11,0.12,24,3,19,30,48,4,27,85,23,7,281,31,21,5,330,440,189,233,102,130,21,38,22
Maxime Lopez,Marseille,Ligue 1,French Ligue 1,23,"1,110",0,3,0,0.00,0.24,0.00,0.8,0.8,0.8,0.06,0.06,0.06,17,7,10,2,25,15,117,54,13,2,227,10,5,5,775,884,392,423,312,349,52,76,74
Nemanja Radonjić,Marseille,Ligue 1,French Ligue 1,21,880,5,1,5,0.51,0.10,0.51,3.0,3.0,0.8,0.30,0.08,0.30,21,3,7,5,57,33,102,95,9,3,168,8,5,2,254,347,130,168,92,113,25,36,44
Lucas Perrin,Marseille,Ligue 1,French Ligue 1,4,360,0,0,0,0.00,0.00,0.00,0.4,0.4,0.0,0.09,0.00,0.09,0,6,6,18,4,2,4,2,11,4,37,4,22,0,238,256,56,57,120,125,57,68,4
Luiz Gustavo,Marseille,Ligue 1,French Ligue 1,3,190,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.05,0.04,1,4,6,2,2,0,4,3,7,2,48,5,4,0,88,95,38,40,41,44,9,11,6
Yohann Pelé,Marseille,Ligue 1,French Ligue 1,2,150,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,4,4,23,23,9,20,0
Saîf-Eddine Khaoui,Marseille,Ligue 1,French Ligue 1,7,106,0,0,0,0.00,0.00,0.00,0.2,0.2,0.1,0.20,0.12,0.20,3,1,1,2,7,2,5,5,3,2,27,2,3,0,41,59,21,22,15,23,3,11,4
Marley Aké,Marseille,Ligue 1,French Ligue 1,9,99,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.19,0.00,0.19,1,2,2,0,2,3,6,8,4,1,15,0,0,1,25,29,14,14,7,11,3,3,2
Isaac Lihadji,Marseille,Ligue 1,French Ligue 1,2,25,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,1,0,0,3,3,0,0,9,0,0,0,12,16,8,9,3,4,1,1,3
Florian Thauvin,Marseille,Ligue 1,French Ligue 1,2,22,0,0,0,0.00,0.00,0.00,0.3,0.3,0.0,1.26,0.00,1.26,0,0,0,0,5,2,1,4,1,0,9,0,0,0,12,12,9,9,3,3,0,0,1
Florian Chabrolle,Marseille,Ligue 1,French Ligue 1,1,18,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,6,0,0,0,8,0,0,0,14,16,12,12,1,1,1,1,2
Pépé Bonet,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Elias Damergy,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Jakob Johansson,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Diafra Sakho,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Hamari Traoré,Rennes,Ligue 1,French Ligue 1,27,"2,411",0,5,0,0.00,0.19,0.00,1.0,1.0,2.1,0.04,0.08,0.04,48,33,39,34,38,25,152,75,65,27,356,42,83,9,1249,1544,505,566,586,679,145,247,131
Damien Da Silva,Rennes,Ligue 1,French Ligue 1,25,"2,244",1,2,1,0.04,0.08,0.04,0.5,0.5,0.9,0.02,0.04,0.02,2,20,17,91,11,10,57,10,31,6,159,38,198,2,1068,1220,267,287,567,600,228,317,46
Edouard Mendy,Rennes,Ligue 1,French Ligue 1,24,"2,160",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,3,0,1,0,585,792,55,55,253,256,277,479,0
M'Baye Niang,Rennes,Ligue 1,French Ligue 1,26,"2,126",10,0,10,0.42,0.00,0.42,9.2,7.7,0.7,0.39,0.03,0.32,9,4,10,68,108,19,37,202,15,2,322,21,19,5,354,501,204,254,101,146,28,52,28
Eduardo Camavinga,Rennes,Ligue 1,French Ligue 1,25,"2,107",1,2,1,0.04,0.09,0.04,1.0,1.0,0.7,0.04,0.03,0.04,1,24,58,34,11,14,96,30,98,27,574,36,49,6,879,985,285,327,429,464,155,172,57
Faitout Maouassa,Rennes,Ligue 1,French Ligue 1,23,"1,803",3,1,3,0.15,0.05,0.15,0.5,0.5,1.0,0.02,0.05,0.02,48,15,29,21,13,28,132,26,59,18,256,38,77,2,760,996,348,389,323,401,83,175,64
Benjamin Bourigeaud,Rennes,Ligue 1,French Ligue 1,25,"1,903",2,2,2,0.09,0.09,0.09,2.4,2.4,2.2,0.11,0.11,0.11,47,12,27,17,18,15,83,51,43,17,508,46,34,6,924,1223,334,378,362,451,216,354,104
Jérémy Morel,Rennes,Ligue 1,French Ligue 1,21,"1,806",1,0,1,0.05,0.00,0.05,1.0,1.0,0.4,0.05,0.02,0.05,13,16,16,32,14,7,58,15,23,7,145,33,74,0,837,1003,245,275,439,482,146,218,56
Raphael Dias Belloli,Rennes,Ligue 1,French Ligue 1,22,"1,690",5,3,4,0.27,0.16,0.21,6.4,5.0,5.5,0.34,0.29,0.27,45,13,20,15,77,58,120,152,30,9,370,34,14,6,454,685,191,241,189,260,62,138,92
Joris Gnagnon,Rennes,Ligue 1,French Ligue 1,19,"1,278",0,1,0,0.00,0.07,0.00,0.6,0.6,0.7,0.04,0.05,0.04,2,5,15,53,17,1,39,14,22,10,94,28,105,1,563,611,118,129,359,372,86,107,18
Romain Del Castillo,Rennes,Ligue 1,French Ligue 1,21,"1,242",2,5,1,0.14,0.36,0.07,2.3,1.6,2.9,0.17,0.21,0.11,26,7,19,20,42,37,82,126,25,8,348,16,7,6,379,482,211,244,136,171,26,42,44
Adrien Hunou,Rennes,Ligue 1,French Ligue 1,23,"1,210",8,1,7,0.60,0.07,0.52,7.5,6.7,1.8,0.56,0.13,0.50,11,2,16,11,57,12,33,122,23,5,322,21,7,4,247,317,139,165,88,108,13,20,24
James Lea Siliki,Rennes,Ligue 1,French Ligue 1,20,"1,079",0,0,0,0.00,0.00,0.00,0.9,0.9,0.8,0.07,0.07,0.07,14,5,19,7,20,9,50,43,29,9,239,19,14,2,324,430,139,160,136,169,40,83,29
Jérémy Gélin,Rennes,Ligue 1,French Ligue 1,14,924,0,0,0,0.00,0.00,0.00,0.3,0.3,0.0,0.03,0.00,0.03,1,12,6,18,6,1,5,4,13,5,87,24,43,1,472,533,100,114,248,262,120,148,30
Clément Grenier,Rennes,Ligue 1,French Ligue 1,11,839,1,0,1,0.11,0.00,0.11,0.8,0.8,0.6,0.08,0.06,0.08,7,6,10,11,7,6,40,37,17,11,176,9,18,2,334,450,132,152,158,187,38,92,39
Flavien Tait,Rennes,Ligue 1,French Ligue 1,17,885,2,2,2,0.20,0.20,0.20,1.4,1.4,2.0,0.14,0.21,0.14,11,5,14,4,23,19,95,64,23,6,213,10,7,4,304,410,154,193,114,143,27,46,48
Jordan Pefok,Rennes,Ligue 1,French Ligue 1,14,440,0,1,0,0.00,0.20,0.00,1.0,1.0,0.6,0.20,0.12,0.20,2,1,5,12,22,6,10,39,6,1,105,6,3,1,78,103,47,58,22,29,3,6,4
Steven Nzonzi,Rennes,Ligue 1,French Ligue 1,5,386,0,0,0,0.00,0.00,0.00,0.2,0.2,0.1,0.04,0.02,0.04,0,2,7,20,2,2,22,9,7,4,34,2,23,0,272,299,89,95,141,153,39,46,10
Romain Salin,Rennes,Ligue 1,French Ligue 1,4,360,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,130,15,15,32,32,48,82,0
Yann Gboho,Rennes,Ligue 1,French Ligue 1,8,226,1,1,1,0.40,0.40,0.40,0.2,0.2,0.2,0.09,0.07,0.09,2,1,2,2,7,7,15,25,3,0,64,4,1,1,38,52,28,33,10,13,0,1,6
Sacha Boey,Rennes,Ligue 1,French Ligue 1,5,172,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.05,0.06,0.05,2,3,5,1,5,1,4,5,7,6,40,2,7,1,65,81,30,34,28,33,7,11,2
Jonas Martin,Rennes,Ligue 1,French Ligue 1,3,113,0,0,0,0.00,0.00,0.00,0.1,0.1,0.2,0.06,0.14,0.06,2,0,3,6,3,0,7,2,5,1,16,3,1,0,69,79,28,30,30,36,9,11,5
Souleyman Doumbia,Rennes,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.00,1,0,0,0,1,4,3,2,2,1,12,3,2,0,38,48,15,18,21,25,1,3,3
Lucas Da Cunha,Rennes,Ligue 1,French Ligue 1,2,72,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.06,0.13,0.06,1,0,1,1,3,1,2,3,1,0,19,0,0,0,18,22,12,12,3,4,1,2,1
Gerzino Nyamsi,Rennes,Ligue 1,French Ligue 1,4,116,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,2,0,1,1,1,1,0,1,0,7,2,5,0,40,46,10,10,24,25,6,10,4
Rafik Guitane,Rennes,Ligue 1,French Ligue 1,2,16,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.00,0,0,0,0,3,0,5,4,0,0,2,0,0,0,7,11,1,3,5,6,0,0,0
Leonardo César Jardim,Lille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Virgiliu Postolachi,Lille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Mike Maignan,Lille,Ligue 1,French Ligue 1,28,"2,520",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,1,1,0,0,0,0,0,3,0,0,0,491,762,79,80,182,182,227,496,0
Jonathan Ikone,Lille,Ligue 1,French Ligue 1,28,"2,057",3,6,2,0.13,0.26,0.09,4.4,3.7,3.8,0.19,0.17,0.16,30,5,13,6,80,64,139,188,19,8,486,26,4,13,544,706,273,339,207,243,50,78,73
Victor Osimhen,Lille,Ligue 1,French Ligue 1,27,"2,287",13,4,11,0.51,0.16,0.43,15.0,12.7,3.1,0.59,0.12,0.50,20,12,5,94,158,15,60,224,8,1,439,17,32,7,232,368,153,220,57,93,12,25,12
José Fonte,Lille,Ligue 1,French Ligue 1,25,"2,205",1,1,1,0.04,0.04,0.04,1.9,1.9,0.6,0.08,0.03,0.08,4,16,15,67,33,5,61,24,28,13,124,22,147,1,1254,1418,330,358,686,732,229,310,60
Gabriel Dos Santos,Lille,Ligue 1,French Ligue 1,24,"2,087",1,0,1,0.04,0.00,0.04,0.9,0.9,0.1,0.04,0.00,0.04,4,12,31,88,26,5,118,19,44,14,184,40,139,2,1228,1457,320,343,688,752,212,343,93
Zeki Çelik,Lille,Ligue 1,French Ligue 1,23,"2,070",0,2,0,0.00,0.09,0.00,0.3,0.3,1.7,0.01,0.08,0.01,47,15,34,24,34,19,156,43,65,31,391,37,49,5,1094,1365,500,567,439,513,132,224,118
Benjamin André,Lille,Ligue 1,French Ligue 1,26,"2,054",2,1,2,0.09,0.04,0.09,1.0,1.0,1.1,0.04,0.05,0.04,10,45,63,70,23,23,88,68,83,37,593,45,47,5,981,1239,462,534,379,464,112,173,81
Jonathan Bamba,Lille,Ligue 1,French Ligue 1,26,"1,937",1,4,0,0.05,0.19,0.00,5.1,2.8,2.4,0.24,0.11,0.13,22,14,10,8,68,48,157,162,16,7,343,31,7,7,669,831,372,416,212,252,66,117,77
Renato Sanches,Lille,Ligue 1,French Ligue 1,19,"1,483",3,1,3,0.18,0.06,0.18,1.9,1.7,2.5,0.12,0.15,0.10,36,13,25,8,30,48,132,63,32,13,413,25,14,4,816,1007,377,428,311,359,114,182,95
Domagoj Bradarić,Lille,Ligue 1,French Ligue 1,18,"1,419",0,1,0,0.00,0.06,0.00,0.4,0.4,1.7,0.03,0.11,0.03,62,13,14,11,7,9,109,45,29,13,220,26,44,2,625,829,289,322,256,318,74,163,52
Boubakary Soumaré,Lille,Ligue 1,French Ligue 1,20,"1,213",0,0,0,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.03,0.00,4,13,17,12,6,19,58,22,22,10,233,17,10,1,673,746,266,291,289,308,106,128,64
Reinildo Mandava,Lille,Ligue 1,French Ligue 1,16,"1,110",0,0,0,0.00,0.00,0.00,0.1,0.1,0.4,0.00,0.03,0.00,21,13,32,17,11,12,50,26,48,25,210,27,32,0,523,656,251,278,222,270,36,71,37
Loïc Rémy,Lille,Ligue 1,French Ligue 1,20,963,7,0,7,0.65,0.00,0.65,4.4,4.4,0.5,0.42,0.05,0.42,5,0,4,14,46,16,28,110,6,2,144,4,7,3,177,221,98,116,59,68,17,25,15
Yusuf Yazıcı,Lille,Ligue 1,French Ligue 1,18,848,1,4,0,0.11,0.42,0.00,1.9,1.2,2.7,0.20,0.28,0.12,16,2,12,0,27,15,55,55,17,5,248,12,5,5,314,451,148,172,113,148,44,107,32
Xeka,Lille,Ligue 1,French Ligue 1,17,709,0,0,0,0.00,0.00,0.00,1.0,1.0,1.1,0.13,0.14,0.13,3,5,13,14,17,5,37,27,21,6,209,10,13,1,386,448,162,181,160,180,53,67,37
Tiago Djaló,Lille,Ligue 1,French Ligue 1,8,661,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,1,5,8,10,1,1,21,1,9,5,78,8,48,0,380,432,103,112,201,213,71,97,15
Luiz Araújo,Lille,Ligue 1,French Ligue 1,21,828,2,1,2,0.22,0.11,0.22,1.3,1.3,1.8,0.14,0.19,0.14,20,5,9,6,35,26,53,56,18,6,262,16,7,2,223,309,103,128,83,116,25,38,28
Jérémy Pied,Lille,Ligue 1,French Ligue 1,5,450,0,0,0,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.06,0.01,15,4,12,4,3,6,30,8,21,12,91,9,23,0,248,326,100,109,118,146,25,57,36
Adama Soumaoro,Lille,Ligue 1,French Ligue 1,6,415,1,0,1,0.22,0.00,0.22,0.8,0.8,0.0,0.17,0.00,0.17,0,3,2,13,4,1,10,1,3,0,32,10,24,1,328,340,72,76,221,224,32,35,4
Timothy Weah,Lille,Ligue 1,French Ligue 1,3,85,0,0,0,0.00,0.00,0.00,0.0,0.0,0.4,0.05,0.38,0.05,0,0,1,2,1,4,7,7,1,0,16,0,1,0,21,31,10,12,7,11,2,2,1
Jean Onana,Lille,Ligue 1,French Ligue 1,1,79,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.10,0.02,0,0,0,2,0,0,2,2,1,0,23,1,3,0,41,47,17,17,18,20,6,9,8
Nicolás Gaitán,Lille,Ligue 1,French Ligue 1,4,54,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.00,1,0,1,2,4,2,5,6,2,1,18,4,3,0,17,28,9,13,5,6,3,7,0
Thiago Maia,Lille,Ligue 1,French Ligue 1,3,48,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.10,0.00,0,1,3,1,0,0,0,0,4,0,13,0,1,0,31,39,17,19,11,12,2,7,4
Cheikh Niasse,Lille,Ligue 1,French Ligue 1,1,15,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,9,1,1,7,7,1,1,0
