sofifa_id,predict_value
158023,88617907.04888563
188545,124622108.27656628
20801,49013911.41962349
190871,152842078.85936645
192985,148589691.83894476
200389,152711098.6399285
231747,244198297.24978673
167495,9509144.706657384
192448,134318651.10819972
202126,158644791.93859607
215914,117111849.84576754
165153,83743840.62857217
192119,115513898.49106002
200104,126855189.07381703
200145,114829783.29287875
203376,100907270.67775518
208722,118897415.95034926
209331,118730407.9956122
210257,116215778.5297232
212622,119772713.06627804
212831,100901982.95062318
230621,150318337.9346059
155862,24947061.290746216
176580,54816268.63574707
182521,96629987.73089688
192505,109936261.37287462
193041,14827055.289692564
202652,132208198.18791318
212198,133682344.01683858
239085,159250450.98652726
153079,63663711.53766179
167948,11898113.086613918
177003,38488927.17233154
183898,56344209.51843413
186153,42564110.91069139
189596,68007431.77670896
192387,71775992.98136924
195864,93860740.4572769
199556,94352703.75795415
207865,112903246.20390686
209658,103029067.44299051
211110,103203343.92780867
216267,103335748.32671797
228702,165567609.410645
231281,143560350.6598835
233049,146877410.5787444
239818,128282583.24433008
138956,8660508.229395289
162835,4559862.714701371
178603,45832947.708523944
189332,59612752.71705898
189509,76397879.47401603
189511,56537271.06033718
189513,72286955.0303893
192984,58176163.591056876
198219,69654890.10024859
201024,59579631.7705268
201535,84344925.95679615
204485,76869288.32792138
208093,92530877.22534609
208830,37244333.69026012
209499,90813560.746709
210514,88514129.84942898
212218,95182923.90478465
213345,89418239.27433948
218667,99607332.18729399
226161,121739764.93812801
231866,100863804.53955759
232363,84338520.7215714
143076,43493456.62508534
163587,8102544.675376849
164240,6849645.172056944
168542,26394835.22132956
177683,26682805.265718225
179813,26797297.10450548
183277,65816291.10165952
184344,15683702.77910614
185122,28652825.715205055
186942,59758948.530300535
188350,44628496.86795071
188377,44208831.07673458
188567,51526212.45071598
193747,68467607.1226311
194765,373726.0023725271
198176,47674569.58377179
201942,63197894.46396386
202556,85378567.14758635
204963,60775398.30858901
205498,61759933.38748907
206113,70634460.07750954
223848,76030668.01086293
226790,86580429.1659745
230142,110528552.13126789
231478,89443148.1943469
231677,97123645.40954563
235212,87860901.02715388
235243,84189822.41778803
41236,11557193.807112984
146536,15817519.649492351
152729,13617942.814593853
175943,19468718.095269706
181291,46698735.447636575
183711,32749050.263119794
184134,27146346.737185035
186345,47607375.756086044
192629,35099568.87227831
193080,30161043.934317455
197445,44058702.28137385
198706,46302799.35210954
199434,28368969.97173467
199451,50114321.6038643
200458,49030623.499693274
200647,27851766.59367319
202811,41280202.4021661
