player,team,league_name_fbref,league_name_sofifa,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,crosses,interceptions,tackles_won,aerials_won,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,tackles,dribble_tackles,pressures,blocks,clearances,gca,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes
Thilo Kehrer,Paris S-G,Ligue 1,French Ligue 1,19,"1,214",2,0,2,0.15,0.00,0.15,0.8,0.8,0.0,0.06,0.00,0.06,5,25,16,26,15,3,51,23,24,8,147,16,31,1,924,976,403,412,439,462,68,80,32
Georginio Wijnaldum,Paris S-G,Ligue 1,French Ligue 1,21,"1,158",1,2,1,0.08,0.16,0.08,2.2,2.2,1.7,0.17,0.13,0.17,1,10,10,11,37,6,36,49,12,4,140,13,3,5,489,541,279,297,169,187,27,32,23
Danilo Pereira,Paris S-G,Ligue 1,French Ligue 1,16,"1,153",5,0,5,0.39,0.00,0.39,2.7,2.7,0.1,0.21,0.01,0.21,0,29,12,20,17,6,43,5,17,5,131,21,19,0,900,952,326,343,455,474,106,117,29
Neymar,Paris S-G,Ligue 1,French Ligue 1,12,981,4,3,3,0.37,0.28,0.28,5.3,3.7,3.9,0.48,0.36,0.34,23,7,7,3,67,44,138,124,11,5,149,4,1,7,567,738,312,377,184,225,47,87,85
Nuno Mendes,Paris S-G,Ligue 1,French Ligue 1,17,"1,019",0,1,0,0.00,0.09,0.00,0.1,0.1,1.9,0.01,0.17,0.01,27,22,13,5,15,9,61,28,26,15,150,25,11,4,641,739,321,349,261,295,51,70,33
Ander Herrera,Paris S-G,Ligue 1,French Ligue 1,17,"1,008",3,2,3,0.27,0.18,0.27,1.0,1.0,1.9,0.09,0.17,0.09,7,23,18,0,15,5,73,31,27,13,204,17,8,7,896,977,469,498,330,351,82,102,70
Gianluigi Donnarumma,Paris S-G,Ligue 1,French Ligue 1,11,990,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,277,301,83,83,129,132,62,83,0
Mauro Icardi,Paris S-G,Ligue 1,French Ligue 1,21,992,4,0,4,0.36,0.00,0.36,4.7,4.7,0.6,0.43,0.06,0.43,3,9,2,5,60,1,6,61,3,1,183,3,9,4,116,144,63,75,35,42,6,8,5
Abdou Diallo,Paris S-G,Ligue 1,French Ligue 1,9,766,0,1,0,0.00,0.12,0.00,0.1,0.1,0.6,0.01,0.06,0.01,13,12,15,11,8,13,56,10,22,8,108,14,17,1,523,588,232,250,233,253,52,73,46
Juan Bernat,Paris S-G,Ligue 1,French Ligue 1,10,628,0,0,0,0.00,0.00,0.00,0.2,0.2,0.5,0.03,0.08,0.03,13,4,12,3,18,5,26,22,19,9,72,11,12,0,406,444,257,273,128,140,11,16,17
Leandro Paredes,Paris S-G,Ligue 1,French Ligue 1,12,638,0,2,0,0.00,0.28,0.00,0.1,0.1,0.1,0.01,0.01,0.01,0,12,14,3,0,1,35,6,18,8,89,6,2,3,688,725,281,293,324,331,78,89,33
Julian Draxler,Paris S-G,Ligue 1,French Ligue 1,15,530,2,1,2,0.34,0.17,0.34,1.4,1.4,1.5,0.24,0.25,0.24,4,4,4,2,23,11,29,42,4,1,49,3,4,2,259,283,148,157,83,91,21,27,13
Junior Dina Ebimbe,Paris S-G,Ligue 1,French Ligue 1,8,240,0,0,0,0.00,0.00,0.00,0.1,0.1,0.1,0.04,0.02,0.04,1,3,3,1,5,4,11,6,5,0,68,3,3,1,160,174,66,72,72,74,19,22,5
Rafinha,Paris S-G,Ligue 1,French Ligue 1,5,220,0,0,0,0.00,0.00,0.00,0.4,0.4,0.1,0.16,0.05,0.16,0,4,7,2,4,5,34,20,11,3,71,5,1,0,168,185,92,101,63,67,9,11,10
Sergio Ramos,Paris S-G,Ligue 1,French Ligue 1,4,239,1,0,1,0.38,0.00,0.38,0.9,0.9,0.0,0.33,0.00,0.33,0,3,3,4,4,1,18,0,7,4,28,1,4,1,271,289,68,71,135,142,67,75,28
Colin Dagba,Paris S-G,Ligue 1,French Ligue 1,3,165,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.00,6,3,1,1,6,1,23,4,3,2,29,4,0,0,128,140,71,74,52,57,3,4,5
Xavi Simons,Paris S-G,Ligue 1,French Ligue 1,4,104,0,0,0,0.00,0.00,0.00,0.3,0.3,0.1,0.27,0.11,0.27,1,0,1,2,9,0,5,6,1,1,24,1,1,0,43,50,30,32,8,11,2,2,1
Edouard Michut,Paris S-G,Ligue 1,French Ligue 1,2,23,0,1,0,0.00,3.91,0.00,0.0,0.0,0.1,0.00,0.47,0.00,0,0,0,0,1,0,3,2,0,0,5,0,2,1,19,21,13,13,4,4,2,2,0
Sergio Rico,Paris S-G,Ligue 1,French Ligue 1,1,23,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,1,3,3,3,4,0
Pablo Sarabia,Paris S-G,Ligue 1,French Ligue 1,2,22,1,0,1,4.09,0.00,4.09,0.8,0.8,0.0,3.27,0.00,3.27,2,0,0,0,1,1,1,2,0,0,10,0,0,0,13,20,9,10,3,5,1,4,0
Sekou Yansané,Paris S-G,Ligue 1,French Ligue 1,1,16,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,5,1,1,0,2,2,2,2,0,0,0,0,0
Nathan Bitu Mazala,Paris S-G,Ligue 1,French Ligue 1,1,11,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,1,1,1,0,0,1,1,0,0,10,10,7,7,3,3,0,0,1
Arnaud Kalimuendo,Paris S-G,Ligue 1,French Ligue 1,2,8,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,1,0,0,2,0,0,0,4,0,0,0,5,5,3,3,1,1,0,0,0
Salim Ben Seghir,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Aylan Benyahia,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Ugo Bertelli,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Amay Caprice,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Bilal Nadir,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Simon Ngapandouetnbu,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Paolo Sciortino,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Cheick Souaré,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Fabio Vanni,Marseille,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
William Saliba,Marseille,Ligue 1,French Ligue 1,25,"2,250",0,0,0,0.00,0.00,0.00,1.2,1.2,0.6,0.05,0.02,0.05,5,46,33,36,33,17,175,10,49,12,208,33,63,3,1979,2111,659,696,1084,1122,224,267,131
Mattéo Guendouzi,Marseille,Ligue 1,French Ligue 1,26,"2,147",3,5,3,0.13,0.21,0.13,2.8,2.8,2.5,0.12,0.10,0.12,21,15,26,18,77,23,222,75,35,9,308,20,14,11,1275,1463,531,588,560,619,162,201,148
Dimitri Payet,Marseille,Ligue 1,French Ligue 1,23,"1,990",9,9,5,0.41,0.41,0.23,6.5,3.5,8.3,0.29,0.37,0.16,66,11,6,2,62,27,170,156,10,4,209,3,1,16,940,1259,434,501,333,417,157,304,120
Pau López,Marseille,Ligue 1,French Ligue 1,22,"1,980",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,821,982,143,144,444,449,228,382,2
Luan Peres Petroni,Marseille,Ligue 1,French Ligue 1,25,"1,954",0,1,0,0.00,0.05,0.00,0.1,0.1,1.1,0.00,0.05,0.00,13,38,22,25,10,12,127,13,56,20,209,51,46,3,1259,1414,557,590,558,618,126,178,62
Boubacar Kamara,Marseille,Ligue 1,French Ligue 1,22,"1,710",1,0,1,0.05,0.00,0.05,0.9,0.9,0.9,0.05,0.05,0.05,8,40,29,29,30,8,97,39,44,12,301,32,35,1,1321,1467,633,668,499,546,162,210,86
Gerson,Marseille,Ligue 1,French Ligue 1,23,"1,535",4,2,4,0.23,0.12,0.23,3.1,3.1,1.2,0.18,0.07,0.18,11,15,23,18,53,15,82,93,32,5,336,23,7,6,738,809,376,405,284,296,57,71,34
Cengiz Ünder,Marseille,Ligue 1,French Ligue 1,22,"1,566",7,1,7,0.40,0.06,0.40,4.3,4.3,2.8,0.25,0.16,0.25,55,15,8,9,97,19,128,150,15,5,161,16,6,4,512,691,263,307,175,230,62,115,65
Pol Lirola,Marseille,Ligue 1,French Ligue 1,23,"1,405",1,2,1,0.06,0.13,0.06,1.3,1.3,2.8,0.08,0.18,0.08,56,24,10,12,51,23,123,91,16,7,160,21,15,2,717,886,373,420,267,318,66,106,48
Valentin Rongier,Marseille,Ligue 1,French Ligue 1,20,"1,402",0,1,0,0.00,0.06,0.00,1.9,1.9,0.7,0.12,0.04,0.12,9,24,39,15,18,16,119,46,55,15,305,27,8,2,1167,1283,505,540,525,570,122,145,103
Duje Ćaleta-Car,Marseille,Ligue 1,French Ligue 1,15,"1,280",1,0,1,0.07,0.00,0.07,0.6,0.6,0.1,0.04,0.01,0.04,0,21,11,20,11,0,91,2,18,8,60,14,37,0,1041,1133,272,278,572,598,190,243,53
Arkadiusz Milik,Marseille,Ligue 1,French Ligue 1,16,906,5,0,5,0.50,0.00,0.50,5.1,5.1,1.4,0.50,0.13,0.50,2,2,4,18,69,3,19,96,8,3,161,5,7,3,199,246,108,124,60,71,14,16,12
Leonardo Balerdi,Marseille,Ligue 1,French Ligue 1,15,877,0,0,0,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0,29,7,21,2,8,42,1,11,5,88,19,34,0,693,750,222,231,360,376,107,134,27
Konrad De La Fuente,Marseille,Ligue 1,French Ligue 1,16,785,0,2,0,0.00,0.23,0.00,1.1,1.1,1.5,0.12,0.17,0.12,25,6,8,4,54,18,71,50,8,7,128,13,4,5,188,239,105,118,69,83,11,22,17
Bamba Dieng,Marseille,Ligue 1,French Ligue 1,17,690,4,0,4,0.52,0.00,0.52,4.6,4.6,0.1,0.61,0.02,0.61,3,6,10,8,51,3,28,57,15,2,124,1,5,3,101,137,55,71,34,40,6,10,6
Pape Gueye,Marseille,Ligue 1,French Ligue 1,17,764,0,1,0,0.00,0.12,0.00,0.8,0.8,0.3,0.09,0.03,0.09,1,22,9,15,7,3,38,13,19,7,131,9,14,1,509,559,205,217,236,249,68,87,35
Luis Henrique,Marseille,Ligue 1,French Ligue 1,17,647,0,1,0,0.00,0.14,0.00,0.9,0.9,0.4,0.12,0.05,0.12,11,10,2,1,19,6,26,41,3,1,93,6,0,1,155,194,84,96,53,63,14,23,14
Amine Harit,Marseille,Ligue 1,French Ligue 1,13,518,1,1,1,0.17,0.17,0.17,0.6,0.6,1.5,0.10,0.26,0.10,8,2,12,1,29,15,49,49,15,4,92,2,1,3,285,314,180,192,74,81,23,31,23
Álvaro González,Marseille,Ligue 1,French Ligue 1,6,451,0,0,0,0.00,0.00,0.00,0.2,0.2,0.0,0.04,0.00,0.04,0,3,0,3,2,0,7,0,1,1,25,1,12,0,359,374,90,93,206,212,62,67,12
Steve Mandanda,Marseille,Ligue 1,French Ligue 1,4,360,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,102,117,27,28,42,44,33,45,0
Cédric Bakambu,Marseille,Ligue 1,French Ligue 1,3,155,2,0,2,1.16,0.00,1.16,1.2,1.2,0.4,0.69,0.23,0.69,1,1,1,4,8,0,5,13,1,0,36,1,0,1,19,22,13,15,4,5,2,2,2
Sead Kolašinac,Marseille,Ligue 1,French Ligue 1,4,144,0,1,0,0.00,0.62,0.00,0.0,0.0,0.2,0.00,0.10,0.00,5,0,3,4,3,0,9,8,3,3,21,2,3,1,71,83,42,46,25,31,3,4,4
Jordan Amavi,Marseille,Ligue 1,French Ligue 1,2,128,0,0,0,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.07,0.00,2,1,3,3,1,0,10,3,7,5,13,1,1,0,76,88,34,38,33,36,9,12,7
Darío Benedetto,Marseille,Ligue 1,French Ligue 1,2,54,0,0,0,0.00,0.00,0.00,0.5,0.5,0.0,0.86,0.06,0.86,0,0,0,2,4,0,0,2,0,0,6,1,0,0,10,11,6,7,3,3,1,1,1
Nemanja Radonjić,Marseille,Ligue 1,French Ligue 1,1,18,0,0,0,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.89,0.00,1,0,0,0,2,1,2,3,0,0,6,0,0,0,9,10,8,9,1,1,0,0,0
Oussama Targhalline,Marseille,Ligue 1,French Ligue 1,1,1,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0
Robson Bambu,Nice,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Teddy Boulhendi,Nice,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Antoine Mendy,Nice,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Justin Smith,Nice,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Alexis Trouillet,Nice,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Walter Benítez,Nice,Ligue 1,French Ligue 1,25,"2,250",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,496,685,112,112,213,215,169,355,0
Dante,Nice,Ligue 1,French Ligue 1,25,"2,162",0,0,0,0.00,0.00,0.00,0.8,0.8,0.3,0.03,0.01,0.03,1,43,21,43,18,6,74,1,34,12,165,46,87,2,1624,1783,449,463,902,951,268,350,77
Jean-Clair Todibo,Nice,Ligue 1,French Ligue 1,24,"2,045",1,0,1,0.04,0.00,0.04,2.2,2.2,0.7,0.10,0.03,0.10,2,55,30,48,21,4,108,4,47,20,226,36,86,3,1390,1572,348,376,820,860,219,320,77
Amine Gouiri,Nice,Ligue 1,French Ligue 1,26,"1,937",10,7,7,0.46,0.33,0.33,10.8,7.0,5.3,0.50,0.25,0.32,24,11,10,14,118,41,141,174,21,4,275,26,11,11,534,704,277,333,175,207,65,114,49
Pablo Rosario,Nice,Ligue 1,French Ligue 1,24,"1,784",0,2,0,0.00,0.10,0.00,1.0,1.0,0.9,0.05,0.04,0.05,6,35,26,24,13,17,89,23,44,14,326,29,28,3,994,1137,395,429,463,515,117,155,78
Melvin Bard,Nice,Ligue 1,French Ligue 1,21,"1,781",1,2,1,0.05,0.10,0.05,0.7,0.7,1.7,0.04,0.09,0.04,39,57,28,22,5,13,97,22,42,22,217,46,45,5,1094,1338,483,531,496,584,102,180,98
Mario Lemina,Nice,Ligue 1,French Ligue 1,23,"1,428",1,0,1,0.06,0.00,0.06,0.6,0.6,0.1,0.04,0.00,0.04,4,39,30,22,12,17,75,22,49,15,212,23,28,1,786,894,280,306,384,415,112,155,56
Andy Delort,Nice,Ligue 1,French Ligue 1,20,"1,489",6,1,5,0.36,0.06,0.30,7.4,6.6,3.1,0.45,0.19,0.40,28,8,7,48,75,14,42,128,11,2,176,9,5,7,280,436,161,211,85,143,23,48,32
Hicham Boudaoui,Nice,Ligue 1,French Ligue 1,19,"1,214",2,1,2,0.15,0.07,0.15,0.8,0.8,2.1,0.06,0.16,0.06,23,18,14,14,33,15,49,56,27,11,262,22,14,3,362,473,210,249,117,152,20,41,27
Justin Kluivert,Nice,Ligue 1,French Ligue 1,16,"1,105",3,3,3,0.24,0.24,0.24,1.5,1.5,2.3,0.12,0.19,0.12,34,16,7,11,23,24,79,45,14,3,181,21,2,6,262,396,131,160,89,126,34,89,37
Kasper Dolberg,Nice,Ligue 1,French Ligue 1,18,"1,055",6,1,4,0.51,0.09,0.34,5.8,4.3,0.5,0.49,0.05,0.36,1,6,3,18,50,11,22,72,8,3,191,11,14,2,127,182,81,103,32,51,9,13,11
Khéphren Thuram-Ulie,Nice,Ligue 1,French Ligue 1,25,"1,252",3,2,3,0.22,0.14,0.22,2.2,2.2,2.2,0.16,0.16,0.16,3,31,18,15,17,16,79,22,28,7,196,24,14,5,640,738,253,280,285,312,87,110,58
Jordan Lotomba,Nice,Ligue 1,French Ligue 1,20,"1,194",0,0,0,0.00,0.00,0.00,0.1,0.1,0.8,0.01,0.06,0.01,21,14,12,13,20,16,61,22,26,14,136,21,19,2,587,701,314,343,222,256,41,71,51
Youcef Atal,Nice,Ligue 1,French Ligue 1,14,987,2,0,2,0.18,0.00,0.18,0.9,0.9,1.3,0.08,0.12,0.08,41,34,20,26,28,13,102,37,31,11,137,18,16,2,484,630,264,290,172,213,43,99,40
Calvin Stengs,Nice,Ligue 1,French Ligue 1,16,795,1,0,1,0.11,0.00,0.11,2.6,2.6,1.6,0.29,0.18,0.29,13,16,4,0,28,14,42,54,11,5,138,6,5,1,226,313,113,144,75,99,32,54,27
Flavius Daniliuc,Nice,Ligue 1,French Ligue 1,15,719,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,1,16,14,11,0,6,24,1,23,7,109,20,26,0,382,435,102,113,218,238,58,76,18
Hassane Kamara,Nice,Ligue 1,French Ligue 1,11,544,0,0,0,0.00,0.00,0.00,1.0,1.0,1.1,0.16,0.18,0.16,15,13,9,4,14,4,33,23,17,7,89,10,6,1,240,297,118,131,105,121,13,35,14
Lucas Da Cunha,Nice,Ligue 1,French Ligue 1,10,393,0,1,0,0.00,0.23,0.00,1.0,1.0,1.7,0.23,0.39,0.23,13,2,8,5,16,8,38,19,14,7,81,2,1,1,122,167,66,77,31,44,22,38,11
Morgan Schneiderlin,Nice,Ligue 1,French Ligue 1,13,414,0,1,0,0.00,0.22,0.00,0.2,0.2,0.1,0.05,0.02,0.05,0,13,7,4,3,6,12,10,13,3,89,7,6,1,236,274,110,119,100,114,23,34,18
Dan Ndoye,Nice,Ligue 1,French Ligue 1,3,205,0,1,0,0.00,0.44,0.00,0.1,0.1,0.6,0.06,0.25,0.06,2,0,1,3,14,6,6,20,1,0,37,3,1,1,38,54,19,26,14,19,4,6,2
Jordan Amavi,Nice,Ligue 1,French Ligue 1,2,164,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,1,8,2,2,0,2,2,0,5,5,22,5,4,0,101,114,48,49,37,43,13,15,8
Evann Guessand,Nice,Ligue 1,French Ligue 1,12,235,1,1,1,0.38,0.38,0.38,0.9,0.9,0.5,0.35,0.19,0.35,2,2,3,7,16,7,6,24,5,0,48,3,0,2,36,47,20,27,10,11,4,5,2
Danilo Barbosa,Nice,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,4,0,6,0,0,1,0,0,0,3,2,9,0,33,41,8,9,20,22,5,9,1
Marcin Bułka,Nice,Ligue 1,French Ligue 1,1,90,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,8,9,10,10,3,4,0
Alexis Claude-Maurice,Nice,Ligue 1,French Ligue 1,10,209,0,2,0,0.00,0.86,0.00,0.5,0.5,0.8,0.20,0.36,0.20,3,2,3,0,12,3,10,16,3,1,34,11,3,2,86,99,49,53,25,29,8,11,6
Bilal Brahimi,Nice,Ligue 1,French Ligue 1,2,51,0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,3,0,1,0,0,2,8,2,1,0,7,0,0,0,14,23,7,9,7,10,0,1,1
Myziane Maolida,Nice,Ligue 1,French Ligue 1,1,34,0,0,0,0.00,0.00,0.00,0.1,0.1,0.0,0.17,0.00,0.17,0,0,1,0,1,0,4,2,1,0,6,1,0,0,4,7,2,3,1,1,0,0,0
Jeanuel Belocian,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Pépé Bonet,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Elias Damergy,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Désiré Doué,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Faitout Maouassa,Rennes,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Benjamin Bourigeaud,Rennes,Ligue 1,French Ligue 1,26,"2,173",4,6,4,0.17,0.25,0.17,3.1,3.1,8.7,0.13,0.36,0.13,83,33,18,18,67,9,104,140,36,18,400,43,35,8,901,1260,336,404,376,460,179,339,132
Martin Terrier,Rennes,Ligue 1,French Ligue 1,25,"1,792",13,0,13,0.65,0.00,0.65,8.7,8.7,2.0,0.44,0.10,0.44,21,9,18,37,98,26,87,150,27,6,378,23,14,8,465,590,250,285,138,187,57,78,56
Nayef Aguerd,Rennes,Ligue 1,French Ligue 1,22,"1,970",2,1,2,0.09,0.05,0.09,1.5,1.5,0.3,0.07,0.01,0.07,2,39,8,79,26,5,54,2,17,4,129,23,112,3,1402,1550,340,362,738,772,316,400,58
Gaëtan Laborde,Rennes,Ligue 1,French Ligue 1,22,"1,895",10,5,8,0.47,0.24,0.38,12.2,10.7,3.2,0.58,0.15,0.51,28,14,10,56,146,10,53,165,14,1,364,21,17,11,289,431,163,214,98,156,20,29,31
Hamari Traoré,Rennes,Ligue 1,French Ligue 1,21,"1,827",1,6,1,0.05,0.30,0.05,1.0,1.0,3.3,0.05,0.16,0.05,48,40,24,29,39,8,116,47,42,24,218,39,40,8,1124,1351,382,433,584,667,147,218,107
Alfred Gomis,Rennes,Ligue 1,French Ligue 1,20,"1,800",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,614,87,87,235,237,155,287,0
Warmed Omari,Rennes,Ligue 1,French Ligue 1,22,"1,723",0,0,0,0.00,0.00,0.00,0.3,0.3,0.1,0.02,0.01,0.02,2,31,16,49,14,5,53,0,27,12,140,21,69,1,1050,1136,197,211,555,584,290,321,69
Birger Meling,Rennes,Ligue 1,French Ligue 1,21,"1,511",0,4,0,0.00,0.24,0.00,0.1,0.1,1.3,0.01,0.07,0.01,14,27,28,13,20,2,78,37,47,22,240,37,29,5,776,902,345,380,323,366,94,118,74
Jonas Martin,Rennes,Ligue 1,French Ligue 1,17,"1,411",1,1,1,0.06,0.06,0.06,0.8,0.8,1.0,0.05,0.07,0.05,4,19,17,15,15,3,60,17,27,14,239,19,19,2,998,1111,434,469,429,459,120,153,79
Baptiste Santamaria,Rennes,Ligue 1,French Ligue 1,22,"1,442",1,1,1,0.06,0.06,0.06,1.1,1.1,0.9,0.07,0.05,0.07,9,27,13,48,23,11,51,24,26,10,281,22,28,5,644,772,250,289,286,323,95,127,55
Flavien Tait,Rennes,Ligue 1,French Ligue 1,16,"1,343",2,3,2,0.13,0.20,0.13,2.0,2.0,2.7,0.13,0.18,0.13,15,15,15,6,40,12,113,71,21,10,186,18,5,7,710,820,291,333,276,314,131,147,81
