player,team,league_name_fbref,league_name_sofifa,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,crosses,interceptions,tackles_won,aerials_won,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,tackles,dribble_tackles,pressures,blocks,clearances,gca,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes
El Chadaille Bitshiabu,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Denis Franchi,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Ismaël Gharbi,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Layvin Kurzawa,Paris S-G,Ligue 1,French Ligue 1,0,"","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,
Kylian Mbappé,Paris S-G,Ligue 1,French Ligue 1,24,"2,034",14,11,12,0.62,0.49,0.53,14.7,13.2,7.0,0.65,0.31,0.58,60,12,7,4,229,69,220,305,9,4,186,2,10,19,742,938,442,520,197,242,62,103,56
Marquinhos,Paris S-G,Ligue 1,French Ligue 1,21,"1,890",3,0,3,0.14,0.00,0.14,2.4,2.4,0.3,0.12,0.01,0.12,4,32,12,38,20,4,120,5,20,11,174,32,68,1,1485,1596,394,409,820,850,258,321,67
Presnel Kimpembe,Paris S-G,Ligue 1,French Ligue 1,21,"1,778",1,0,1,0.05,0.00,0.05,0.7,0.7,0.1,0.04,0.00,0.04,1,39,13,39,8,6,100,5,25,8,122,20,58,1,1594,1647,587,602,827,845,165,180,76
Achraf Hakimi,Paris S-G,Ligue 1,French Ligue 1,21,"1,611",3,3,3,0.17,0.17,0.17,1.0,1.0,3.9,0.05,0.22,0.05,40,27,30,9,59,18,117,77,50,21,268,21,15,5,1121,1249,631,676,417,464,51,62,71
Keylor Navas,Paris S-G,Ligue 1,French Ligue 1,15,"1,324",0,0,0,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,2,0,0,0,365,401,108,108,164,167,92,125,0
Idrissa Gana Gueye,Paris S-G,Ligue 1,French Ligue 1,17,"1,263",3,0,3,0.21,0.00,0.21,1.6,1.6,1.4,0.12,0.10,0.12,4,27,30,8,17,15,82,36,47,8,340,18,10,3,963,1032,463,486,401,426,74,85,68
Lionel Messi,Paris S-G,Ligue 1,French Ligue 1,16,"1,253",2,10,2,0.14,0.72,0.14,6.6,6.6,6.0,0.47,0.43,0.47,17,9,4,3,82,43,179,78,5,1,116,3,0,16,815,977,411,467,288,326,94,130,161
Ángel Di María,Paris S-G,Ligue 1,French Ligue 1,19,"1,213",3,3,3,0.22,0.22,0.22,3.7,3.7,4.2,0.28,0.31,0.28,53,14,7,1,71,26,164,133,11,4,186,10,4,7,676,899,347,406,239,302,79,152,85
Marco Verratti,Paris S-G,Ligue 1,French Ligue 1,15,"1,161",2,1,2,0.16,0.08,0.16,0.4,0.4,1.6,0.03,0.12,0.03,3,17,29,5,28,24,145,44,37,10,294,24,5,1,1208,1321,611,645,455,491,106,132,105
