name,games,minutes,goals,assists,goals_pens,goals_per90,assists_per90,goals_pens_per90,xg,npxg,xa,xg_per90,xa_per90,npxg_per90,passes_completed,passes,passes_completed_short,passes_short,passes_completed_medium,passes_medium,passes_completed_long,passes_long,progressive_passes,gca,tackles,dribble_tackles,pressures,blocks,interceptions,clearances,touches_att_pen_area,dribbles_completed,progressive_carries,progressive_passes_received,crosses,tackles_won,aerials_won
Aden Flint,39,"3,429",8,2,8,0.21,0.05,0.21,,,,,,,,,,,,,,,,,,,,,42,,,,,,9,16,
Bailey Wright,36,"3,217",0,2,0,0.00,0.06,0.00,,,,,,,,,,,,,,,,,,,,,45,,,,,,15,45,
Marlon Pack,42,"3,160",3,6,3,0.09,0.17,0.09,,,,,,,,,,,,,,,,,,,,,30,,,,,,27,43,
Jamie Paterson,41,"2,858",5,8,5,0.16,0.25,0.16,,,,,,,,,,,,,,,,,,,,,23,,,,,,135,35,
Nathan Baker,34,"2,731",0,1,0,0.00,0.03,0.00,,,,,,,,,,,,,,,,,,,,,39,,,,,,0,21,
Famara Diedhiou,32,"2,324",13,2,12,0.50,0.08,0.46,,,,,,,,,,,,,,,,,,,,,6,,,,,,7,8,
Hörður Magnússon,24,"1,506",0,1,0,0.00,0.06,0.00,,,,,,,,,,,,,,,,,,,,,30,,,,,,20,9,
Callum O'Dowda,24,"1,377",1,3,1,0.07,0.20,0.07,,,,,,,,,,,,,,,,,,,,,10,,,,,,67,12,
Eros Pisano,16,"1,174",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,19,,,,,,30,18,
Lloyd Kelly,11,663,1,1,1,0.14,0.14,0.14,,,,,,,,,,,,,,,,,,,,,3,,,,,,13,5,
Milan Đurić,16,552,3,0,3,0.49,0.00,0.49,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,0,
Matty Taylor,18,527,1,0,1,0.17,0.00,0.17,,,,,,,,,,,,,,,,,,,,,1,,,,,,9,4,
Niclas Eliasson,13,342,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,5,,,,,,59,3,
Luke Steele,5,341,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Jens Hegeler,4,258,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,1,
Liam Walsh,3,154,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,15,4,
Zak Vyner,17,"1,530",1,0,1,0.06,0.00,0.06,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Gary O'Neil,4,59,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,0,
Gustav Engvall,2,15,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Freddie Hinds,12,315,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Jake Andrews,7,305,1,0,1,0.30,0.00,0.30,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Tyreeq Bakinson,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Lucic,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max O'Leary,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jojo Wollacott,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Białkowski,45,"4,050",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,1,
Jonas Knudsen,42,"3,780",1,7,1,0.02,0.17,0.02,,,,,,,,,,,,,,,,,,,,,60,,,,,,87,35,
Martyn Waghorn,44,"3,456",16,11,15,0.42,0.29,0.39,,,,,,,,,,,,,,,,,,,,,12,,,,,,185,25,
Cole Skuse,39,"3,324",1,1,1,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,78,,,,,,9,38,
Jordan Spence,40,"3,372",4,4,4,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,53,,,,,,38,32,
Luke Chambers,37,"3,263",1,0,1,0.03,0.00,0.03,,,,,,,,,,,,,,,,,,,,,51,,,,,,1,19,
Joe Garner,32,"2,567",10,2,10,0.35,0.07,0.35,,,,,,,,,,,,,,,,,,,,,4,,,,,,27,14,
Callum Connolly,34,"2,545",4,1,4,0.14,0.04,0.14,,,,,,,,,,,,,,,,,,,,,29,,,,,,8,26,
Adam Webster,28,"2,288",0,2,0,0.00,0.08,0.00,,,,,,,,,,,,,,,,,,,,,61,,,,,,0,17,
Grant Ward,37,"2,219",2,5,2,0.08,0.20,0.08,,,,,,,,,,,,,,,,,,,,,27,,,,,,153,26,
Bersant Celina,35,"2,104",7,0,7,0.30,0.00,0.30,,,,,,,,,,,,,,,,,,,,,11,,,,,,79,11,
Dominic Iorfa,23,"1,727",1,1,1,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,37,,,,,,30,27,
David McGoldrick,22,"1,610",6,4,6,0.34,0.22,0.34,,,,,,,,,,,,,,,,,,,,,10,,,,,,12,14,
Freddie Sears,36,"1,733",2,0,2,0.10,0.00,0.10,,,,,,,,,,,,,,,,,,,,,9,,,,,,40,10,
Myles Kenlock,16,"1,301",0,1,0,0.00,0.07,0.00,,,,,,,,,,,,,,,,,,,,,14,,,,,,29,26,
Tristan Nydam,18,861,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,9,,,,,,17,6,
Luke Hyam,17,671,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,13,,,,,,5,12,
Stephen Gleeson,5,279,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,3,,,,,,22,0,
Mustapha Carayol,15,418,1,1,1,0.22,0.22,0.22,,,,,,,,,,,,,,,,,,,,,3,,,,,,52,6,
Tom Adeyemi,5,361,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,8,
Flynn Downes,10,602,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Kévin Bru,9,382,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,3,
Emyr Huws,5,227,0,1,0,0.00,0.40,0.00,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,1,
Ben Folami,4,179,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Teddy Bishop,4,111,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,3,
Luke Woolfenden,2,93,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,1,,,,,,0,0,
Dean Gerken,1,90,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Ben Morris,3,67,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,0,
Barry Cotter,2,57,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,"",,,,,,"","",
Andre Dozzell,1,44,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,2,,,,,,0,0,
Danny Rowe,12,701,1,1,1,0.13,0.13,0.13,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Shane McLoughlin,1,15,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Adam McDonnell,1,14,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Michael Crowe,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Drinan,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Smith,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Webber,0,"","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pontus Jansson,42,"3,565",3,0,3,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,55,,,,,,2,39,
Ezgjan Alioski,42,"3,127",7,5,7,0.20,0.14,0.20,,,,,,,,,,,,,,,,,,,,,25,,,,,,143,78,
Kalvin Phillips,41,"3,198",7,3,7,0.20,0.08,0.20,,,,,,,,,,,,,,,,,,,,,59,,,,,,23,75,
Liam Cooper,30,"2,490",1,1,1,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,43,,,,,,0,29,
Gaetano Berardi,31,"2,552",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,41,,,,,,32,49,
Samuel Sáiz,34,"2,637",5,7,5,0.17,0.24,0.17,,,,,,,,,,,,,,,,,,,,,3,,,,,,59,9,
Felix Wiedwald,28,"2,520",0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,
Kemar Roofe,36,"2,418",11,3,11,0.41,0.11,0.41,,,,,,,,,,,,,,,,,,,,,19,,,,,,45,11,
Luke Ayling,27,"2,365",0,1,0,0.00,0.04,0.00,,,,,,,,,,,,,,,,,,,,,41,,,,,,56,53,
Eunan O'Kane,32,"2,238",0,3,0,0.00,0.12,0.00,,,,,,,,,,,,,,,,,,,,,39,,,,,,11,45,
Ronaldo Vieira,28,"2,019",0,2,0,0.00,0.09,0.00,,,,,,,,,,,,,,,,,,,,,42,,,,,,5,37,
Pierre-Michel Lasogga,31,"1,866",10,3,10,0.48,0.14,0.48,,,,,,,,,,,,,,,,,,,,,2,,,,,,7,4,
