sofifa_id,predict_value
158023,88617907.04888567
188545,124622108.27656643
20801,49013911.41962349
190871,152842078.85936666
192985,148589691.8389449
200389,152711098.6399288
231747,244198297.24978718
167495,9509144.706657391
192448,134318651.10819995
202126,158644791.9385963
215914,117111849.84576769
165153,83743840.62857221
192119,115513898.4910602
200104,126855189.07381716
200145,114829783.29287891
203376,100907270.67775533
208722,118897415.95034939
209331,118730407.9956123
210257,116215778.5297234
212622,119772713.06627814
212831,100901982.9506233
230621,150318337.93460616
155862,24947061.290746223
176580,54816268.63574714
182521,96629987.73089695
192505,109936261.37287472
193041,14827055.289692568
202652,132208198.18791327
212198,133682344.01683874
239085,159250450.9865275
153079,63663711.53766183
167948,11898113.08661392
177003,38488927.17233151
183898,56344209.518434145
186153,42564110.91069145
189596,68007431.77670905
192387,71775992.98136933
195864,93860740.457277
199556,94352703.75795422
207865,112903246.20390703
209658,103029067.44299068
211110,103203343.92780879
216267,103335748.32671805
228702,165567609.41064528
231281,143560350.65988365
233049,146877410.5787446
239818,128282583.2443303
138956,8660508.229395306
162835,4559862.714701366
178603,45832947.70852401
189332,59612752.717059
189509,76397879.4740161
189511,56537271.06033726
189513,72286955.03038937
192984,58176163.59105697
198219,69654890.1002486
201024,59579631.77052689
201535,84344925.95679626
204485,76869288.32792144
208093,92530877.2253462
208830,37244333.69026011
209499,90813560.74670911
210514,88514129.84942904
212218,95182923.90478483
213345,89418239.27433954
218667,99607332.18729407
226161,121739764.93812817
231866,100863804.53955774
232363,84338520.72157152
143076,43493456.62508534
163587,8102544.675376841
164240,6849645.172056931
168542,26394835.221329544
177683,26682805.26571828
179813,26797297.10450549
183277,65816291.10165952
184344,15683702.779106138
185122,28652825.715205092
186942,59758948.53030056
188350,44628496.86795071
188377,44208831.07673459
188567,51526212.45071601
193747,68467607.12263118
194765,-373726.00237263297
198176,47674569.58377183
201942,63197894.46396391
202556,85378567.14758648
204963,60775398.30858905
205498,61759933.38748914
206113,70634460.07750961
223848,76030668.01086307
226790,86580429.16597459
230142,110528552.13126804
231478,89443148.19434705
231677,97123645.40954576
235212,87860901.02715394
235243,84189822.41778818
41236,11557193.807113009
146536,15817519.649492284
152729,13617942.814593835
175943,19468718.095269646
181291,46698735.4476366
183711,32749050.263119806
184134,27146346.737185076
186345,47607375.7560861
192629,35099568.872278325
193080,30161043.934317496
197445,44058702.28137384
198706,46302799.35210957
199434,28368969.971734717
199451,50114321.60386436
200458,49030623.499693304
200647,27851766.593673185
202811,41280202.402166165
203263,51130375.7512238
204639,44988222.89410887
204923,52184034.53561929
205988,60189452.79241418
206517,61648314.930878855
207862,47949206.70744449
207863,34386258.13175711
208418,59118754.18378403
208574,45458166.95090066
208670,49325349.75280817
209889,43094891.75034507
210243,48280642.40309467
212188,69307144.25056866
215698,57108393.98609935
216352,38926336.09531564
216393,73504446.50465605
216460,71876838.83448464
216594,60370646.78883253
222492,61775854.51527887
224232,72216538.71837814
224334,49812524.14246317
228941,57617662.97594599
230938,56588339.70106518
232656,77324178.78469571
235790,126840684.73522241
237692,126495231.11221988
135507,4850850.260910015
169416,25880660.348712537
177413,24500549.164795615
178750,22661641.843279656
179645,23694295.813141815
